heart_rate,GSR,time
71.6,0.21331058,2021/12/6 17:30
70.2,0.213447172,2021/12/6 17:30
68.3,0.213583938,2021/12/6 17:30
66.4,0.213583938,2021/12/6 17:30
64.6,0.213583938,2021/12/6 17:30
63.3,0.214132762,2021/12/6 17:30
62.5,0.214132762,2021/12/6 17:30
62.2,0.214132762,2021/12/6 17:30
62.6,0.214385371,2021/12/6 17:30
63.3,0.214385371,2021/12/6 17:30
64.1,0.214684414,2021/12/6 17:30
64.9,0.214776632,2021/12/6 17:30
65.4,0.214776632,2021/12/6 17:30
65.7,0.215146309,2021/12/6 17:30
65.6,0.215331611,2021/12/6 17:30
65.4,0.215331611,2021/12/6 17:30
65.4,0.215331611,2021/12/6 17:30
65.7,0.215889465,2021/12/6 17:30
66.1,0.215889465,2021/12/6 17:30
66.8,0.215982721,2021/12/6 17:30
67.5,0.215982721,2021/12/6 17:30
68,0.216216257,2021/12/6 17:30
68.2,0.216543958,2021/12/6 17:30
68.1,0.216543958,2021/12/6 17:30
68,0.216684724,2021/12/6 17:30
68,0.216684724,2021/12/6 17:30
68.1,0.21710812,2021/12/6 17:30
68.6,0.217202433,2021/12/6 17:30
69.4,0.21710812,2021/12/6 17:30
70.5,0.217202433,2021/12/6 17:30
71.5,0.217675229,2021/12/6 17:30
72.4,0.217770035,2021/12/6 17:30
73.1,0.217770035,2021/12/6 17:30
73.6,0.218197687,2021/12/6 17:30
73.7,0.217912399,2021/12/6 17:30
73.5,0.218340611,2021/12/6 17:30
73.2,0.218435998,2021/12/6 17:30
72.7,0.218435998,2021/12/6 17:31
72,0.218435998,2021/12/6 17:31
71.4,0.218866273,2021/12/6 17:31
70.9,0.219010074,2021/12/6 17:31
70.7,0.219010074,2021/12/6 17:31
70.4,0.219010074,2021/12/6 17:31
70.3,0.219106047,2021/12/6 17:31
70.3,0.219538968,2021/12/6 17:31
70.4,0.219683656,2021/12/6 17:31
70.3,0.219683656,2021/12/6 17:31
70.3,0.219683656,2021/12/6 17:31
70.3,0.219683656,2021/12/6 17:31
70.4,0.220215811,2021/12/6 17:31
70.2,0.220215811,2021/12/6 17:31
69.8,0.220361393,2021/12/6 17:31
69,0.220750552,2021/12/6 17:31
68,0.220361393,2021/12/6 17:31
66.8,0.220896841,2021/12/6 17:31
65.8,0.221336875,2021/12/6 17:31
65.4,0.221165675,2021/12/6 17:31
65.7,0.221434898,2021/12/6 17:31
66.3,0.221582096,2021/12/6 17:31
67.2,0.221434898,2021/12/6 17:31
67.8,0.221582096,2021/12/6 17:31
68,0.222024867,2021/12/6 17:31
67.5,0.222024867,2021/12/6 17:31
66.8,0.222123501,2021/12/6 17:31
66,0.222321076,2021/12/6 17:31
65.7,0.222123501,2021/12/6 17:31
65.6,0.222123501,2021/12/6 17:31
65.8,0.222816399,2021/12/6 17:31
65.9,0.223214286,2021/12/6 17:31
65.7,0.222667557,2021/12/6 17:31
64.9,0.222816399,2021/12/6 17:31
64,0.223289073,2021/12/6 17:31
63.4,0.223214286,2021/12/6 17:31
63.4,0.223289073,2021/12/6 17:31
64.1,0.22366361,2021/12/6 17:31
65.4,0.22336386,2021/12/6 17:31
66.9,0.223914017,2021/12/6 17:31
68,0.224014337,2021/12/6 17:31
68.2,0.224014337,2021/12/6 17:31
67.7,0.224014337,2021/12/6 17:31
66.7,0.224567707,2021/12/6 17:31
65.7,0.224567707,2021/12/6 17:31
64.9,0.224567707,2021/12/6 17:31
64.6,0.2247949,2021/12/6 17:31
65,0.225123818,2021/12/6 17:31
65.7,0.225123818,2021/12/6 17:31
66.3,0.22563178,2021/12/6 17:31
66.9,0.225275963,2021/12/6 17:31
67.5,0.22568269,2021/12/6 17:31
68,0.225835592,2021/12/6 17:31
68.5,0.225835592,2021/12/6 17:31
69,0.225835592,2021/12/6 17:31
69.7,0.226500566,2021/12/6 17:31
70.4,0.226423665,2021/12/6 17:31
70.8,0.226346763,2021/12/6 17:31
71.3,0.226500566,2021/12/6 17:31
71.7,0.226911731,2021/12/6 17:31
72.1,0.226911731,2021/12/6 17:32
72.4,0.227066303,2021/12/6 17:32
72.5,0.227066303,2021/12/6 17:32
72.4,0.227066303,2021/12/6 17:32
72.1,0.227583068,2021/12/6 17:32
71.5,0.227738556,2021/12/6 17:32
70.9,0.227583068,2021/12/6 17:32
70.5,0.227738556,2021/12/6 17:32
70.4,0.228050171,2021/12/6 17:32
70.4,0.227738556,2021/12/6 17:32
70.5,0.228154232,2021/12/6 17:32
70.6,0.228258388,2021/12/6 17:32
70.4,0.228258388,2021/12/6 17:32
69.7,0.228258388,2021/12/6 17:32
68.9,0.22864985,2021/12/6 17:32
68.3,0.228832952,2021/12/6 17:32
68,0.228937729,2021/12/6 17:32
68.1,0.228832952,2021/12/6 17:32
68.7,0.229410415,2021/12/6 17:32
69.5,0.228937729,2021/12/6 17:32
70.4,0.229410415,2021/12/6 17:32
70.8,0.229515722,2021/12/6 17:32
70.9,0.229515722,2021/12/6 17:32
70.7,0.229515722,2021/12/6 17:32
70.4,0.230096641,2021/12/6 17:32
70,0.230096641,2021/12/6 17:32
69.8,0.230096641,2021/12/6 17:32
70,0.230361778,2021/12/6 17:32
70.4,0.230202578,2021/12/6 17:32
70.8,0.230627306,2021/12/6 17:32
71.4,0.230973581,2021/12/6 17:32
72,0.230733733,2021/12/6 17:32
72.7,0.230733733,2021/12/6 17:32
73.3,0.23142791,2021/12/6 17:32
74,0.231320842,2021/12/6 17:32
74.6,0.23142791,2021/12/6 17:32
75,0.231857176,2021/12/6 17:32
75.1,0.231910959,2021/12/6 17:32
74.7,0.231964741,2021/12/6 17:32
73.9,0.231964741,2021/12/6 17:32
72.7,0.232396003,2021/12/6 17:32
71.2,0.23255814,2021/12/6 17:32
69.8,0.23255814,2021/12/6 17:32
68.7,0.232747614,2021/12/6 17:32
68,0.232612248,2021/12/6 17:32
67.6,0.232666356,2021/12/6 17:32
67.6,0.233208955,2021/12/6 17:32
67.8,0.233208955,2021/12/6 17:32
68,0.233208955,2021/12/6 17:32
68.1,0.23364486,2021/12/6 17:32
68,0.23364486,2021/12/6 17:32
68,0.233918129,2021/12/6 17:32
68,0.234274364,2021/12/6 17:32
68,0.233918129,2021/12/6 17:32
68,0.234604186,2021/12/6 17:32
68,0.234466589,2021/12/6 17:32
67.9,0.234576589,2021/12/6 17:32
67.8,0.234962419,2021/12/6 17:32
67.8,0.235017626,2021/12/6 17:32
68,0.235183443,2021/12/6 17:32
68.2,0.235100535,2021/12/6 17:33
68.3,0.235515793,2021/12/6 17:33
68.3,0.235183443,2021/12/6 17:33
68,0.23573786,2021/12/6 17:33
67.3,0.236127509,2021/12/6 17:33
66.5,0.236016049,2021/12/6 17:33
65.9,0.236294896,2021/12/6 17:33
65.7,0.236406619,2021/12/6 17:33
66,0.236406619,2021/12/6 17:33
66.9,0.236406619,2021/12/6 17:33
68.5,0.236966825,2021/12/6 17:33
70.4,0.236966825,2021/12/6 17:33
72.1,0.236966825,2021/12/6 17:33
73.5,0.237247924,2021/12/6 17:33
74.6,0.237360551,2021/12/6 17:33
75,0.237529691,2021/12/6 17:33
74.9,0.23786871,2021/12/6 17:33
74.3,0.237642586,2021/12/6 17:33
73.5,0.237642586,2021/12/6 17:33
