heart_rate,motion,GSR,battery_info,time,fix_index
105,9.9934,1.847233783,100,2020/8/28 17:50,
105.5,9.9836,1.84808723,100,2020/8/28 17:50,
105.2,9.9874,1.845358922,100,2020/8/28 17:50,
104,9.9852,1.840603967,100,2020/8/28 17:50,
102.1,9.9836,1.841620626,100,2020/8/28 17:50,
99.7,9.9723,1.843657817,100,2020/8/28 17:50,
97.2,9.9847,1.837728707,100,2020/8/28 17:50,
95.2,9.9852,1.840434483,100,2020/8/28 17:50,
93.9,9.9847,1.838235294,100,2020/8/28 17:50,
93.4,9.9866,1.832173019,100,2020/8/28 17:50,
93.2,9.988,1.829826167,100,2020/8/28 17:50,
93.5,9.9924,1.826150475,100,2020/8/28 17:50,
94,9.9856,1.816860525,100,2020/8/28 17:50,
94.6,9.9795,1.8178513,100,2020/8/28 17:50,
95,9.999,1.816200509,100,2020/8/28 17:50,
95.3,10.0082,1.813072385,100,2020/8/28 17:50,
95.6,9.9949,1.817190623,100,2020/8/28 17:50,
95.9,9.9859,1.816200509,100,2020/8/28 17:51,
96.1,9.9963,1.815211472,100,2020/8/28 17:51,
96.3,9.9978,1.814223512,100,2020/8/28 17:51,
96.6,9.9878,1.814223512,100,2020/8/28 17:51,
96.9,9.9751,1.8125793,100,2020/8/28 17:51,
96.9,9.9851,1.813401406,100,2020/8/28 17:51,
96.6,9.976,1.815211472,100,2020/8/28 17:51,
96,9.9841,1.816200509,100,2020/8/28 17:51,
95.2,9.9806,1.810938066,100,2020/8/28 17:51,
93.9,9.9822,1.814223512,100,2020/8/28 17:51,
92.8,9.9724,1.814223512,100,2020/8/28 17:51,
91.9,9.9906,1.808972504,100,2020/8/28 17:51,
91.5,9.9779,1.811594203,100,2020/8/28 17:51,
91.2,9.9843,1.810610176,100,2020/8/28 17:51,
91.3,9.9636,1.806358382,100,2020/8/28 17:51,
91.4,9.9954,1.808972504,100,2020/8/28 17:51,
91.5,9.98,1.808972504,100,2020/8/28 17:51,
91.2,9.9968,1.808972504,100,2020/8/28 17:51,
91.1,9.9855,1.810610176,100,2020/8/28 17:51,
91.1,9.9848,1.810610176,100,2020/8/28 17:51,
91.5,9.9946,1.806032206,100,2020/8/28 17:51,
92,9.9868,1.811594203,100,2020/8/28 17:51,
92.8,9.9912,1.810610176,100,2020/8/28 17:51,
93.5,9.9666,1.810610176,100,2020/8/28 17:51,
93.8,9.9901,1.811102189,100,2020/8/28 17:51,
93.3,9.9956,1.810610176,100,2020/8/28 17:51,
92.2,9.9836,1.809954751,100,2020/8/28 17:51,
90.8,9.9859,1.810610176,100,2020/8/28 17:51,
89.3,9.9678,1.811594203,100,2020/8/28 17:51,
88.1,9.9882,1.812086752,100,2020/8/28 17:51,
87.6,9.9851,1.809463627,100,2020/8/28 17:51,
87.9,9.9871,1.814223512,100,2020/8/28 17:51,
89.1,9.9851,1.816201048,100,2020/8/28 17:51,
90.8,9.9805,1.818016559,100,2020/8/28 17:51,
92.7,9.9856,1.825150575,100,2020/8/28 17:51,
94.7,9.9926,1.823486506,100,2020/8/28 17:51,
96.2,9.995,1.819836215,100,2020/8/28 17:51,
96.7,9.9665,1.818843216,100,2020/8/28 17:51,
96.2,9.983,1.8178513,100,2020/8/28 17:51,
94.9,9.9778,1.811267026,100,2020/8/28 17:51,
92.8,9.9972,1.815211472,100,2020/8/28 17:51,
90.4,9.9959,1.814223512,100,2020/8/28 17:51,
88.5,9.969,1.806684792,100,2020/8/28 17:51,
87.4,9.9761,1.809954751,100,2020/8/28 17:51,
87.4,9.9854,1.807011203,100,2020/8/28 17:51,
88.2,9.9776,1.80342651,100,2020/8/28 17:51,
89.5,9.9839,1.8005042,100,2020/8/28 17:51,
90.7,9.9891,1.797268152,100,2020/8/28 17:51,
91.5,9.9836,1.792757261,100,2020/8/28 17:51,
91.5,9.984,1.786671431,100,2020/8/28 17:51,
91.2,9.9884,1.783644112,100,2020/8/28 17:51,
91.1,9.9831,1.776830135,100,2020/8/28 17:51,
91.5,9.999,1.773364072,100,2020/8/28 17:51,
92.4,9.9857,1.773364072,100,2020/8/28 17:51,
93.7,9.9764,1.773678665,100,2020/8/28 17:51,
95.2,9.9894,1.769911504,100,2020/8/28 17:51,
96.2,9.9781,1.771479185,100,2020/8/28 17:51,
96.3,9.9855,1.768972227,100,2020/8/28 17:51,
94.7,9.9717,1.768033946,100,2020/8/28 17:51,
93.8,9.9782,1.768033946,100,2020/8/28 17:51,
93.1,9.9864,1.765225066,100,2020/8/28 17:52,
93,9.9997,1.767565303,100,2020/8/28 17:52,
93.3,9.9764,1.767097157,100,2020/8/28 17:52,
93.8,9.9836,1.763202098,100,2020/8/28 17:52,
94,9.9789,1.766160863,100,2020/8/28 17:52,
94,9.986,1.76709666,100,2020/8/28 17:52,
93.9,9.9812,1.762735766,100,2020/8/28 17:52,
93.8,9.9924,1.764290755,100,2020/8/28 17:52,
93.7,9.9926,1.764290755,100,2020/8/28 17:52,
93.7,9.9706,1.764290755,100,2020/8/28 17:52,
93.8,9.99,1.761804087,100,2020/8/28 17:52,
93.8,9.9917,1.762114592,100,2020/8/28 17:52,
93.4,9.968,1.761804087,100,2020/8/28 17:52,
92.8,9.9876,1.759324419,100,2020/8/28 17:52,
92.1,9.991,1.761804087,100,2020/8/28 17:52,
91.5,9.9855,1.76133874,100,2020/8/28 17:52,
90.9,10.0011,1.756543123,100,2020/8/28 17:52,
90.8,9.9704,1.761804087,100,2020/8/28 17:52,
91.1,9.9868,1.763357433,100,2020/8/28 17:52,
91.8,9.9996,1.760253477,100,2020/8/28 17:52,
92.6,9.9697,1.764290755,100,2020/8/28 17:52,
93.3,9.981,1.76709666,100,2020/8/28 17:52,
93.7,9.989,1.76366843,100,2020/8/28 17:52,
93.8,9.9958,1.768033946,100,2020/8/28 17:52,
93.2,9.9865,1.768033946,100,2020/8/28 17:52,
92.1,9.9747,1.766160367,100,2020/8/28 17:52,
90.7,9.9841,1.768972227,100,2020/8/28 17:52,
89.1,9.9797,1.769911504,100,2020/8/28 17:52,
87.4,9.9869,1.764602082,100,2020/8/28 17:52,
85.9,9.9931,1.768503087,100,2020/8/28 17:52,
84.9,9.9853,1.768972227,100,2020/8/28 17:52,
84.4,9.9852,1.767565303,100,2020/8/28 17:52,
84.4,9.9888,1.768033946,100,2020/8/28 17:52,
84.9,9.9837,1.768972227,100,2020/8/28 17:52,
85.8,9.9858,1.766160367,100,2020/8/28 17:52,
86.8,9.9818,1.766160367,100,2020/8/28 17:52,
87.4,9.9796,1.768972227,100,2020/8/28 17:52,
87.6,9.9812,1.769911504,100,2020/8/28 17:52,
87.4,9.9692,1.763202098,100,2020/8/28 17:52,
86.8,9.9655,1.768033946,100,2020/8/28 17:52,
86,9.9781,1.770538244,100,2020/8/28 17:52,
85.6,9.9843,1.765692717,100,2020/8/28 17:52,
85.8,9.9886,1.770538244,100,2020/8/28 17:52,
86.8,9.9837,1.769441866,100,2020/8/28 17:52,
87.9,9.9858,1.765692717,100,2020/8/28 17:52,
88.9,9.9873,1.769911504,100,2020/8/28 17:52,
89.4,9.9836,1.769911504,100,2020/8/28 17:52,
89.1,9.9871,1.76709666,100,2020/8/28 17:52,
88.2,9.9754,1.771479185,100,2020/8/28 17:52,
87.5,9.9812,1.771950156,100,2020/8/28 17:52,
87.7,9.9934,1.770695345,100,2020/8/28 17:52,
89.1,9.9771,1.773678665,100,2020/8/28 17:52,
91.6,9.988,1.773678665,100,2020/8/28 17:52,
94.6,9.9868,1.771950156,100,2020/8/28 17:52,
97.2,10.005,1.773678665,100,2020/8/28 17:52,
98.5,9.9971,1.77541069,100,2020/8/28 17:52,
97.9,9.9803,1.77683064,100,2020/8/28 17:52,
95.6,9.9748,1.776356819,100,2020/8/28 17:52,
92.5,10.0011,1.778410101,100,2020/8/28 17:52,
89.4,9.9773,1.778410101,100,2020/8/28 17:52,
87,9.9855,1.775883502,100,2020/8/28 17:53,
85.8,10.0003,1.777303956,100,2020/8/28 17:53,
85.9,9.9843,1.779359431,100,2020/8/28 17:53,
86.8,9.9905,1.776356819,100,2020/8/28 17:53,
87.7,9.99,1.779359431,100,2020/8/28 17:53,
88.4,9.9775,1.779359431,100,2020/8/28 17:53,
88.8,9.9851,1.776356819,100,2020/8/28 17:53,
89.1,9.9883,1.779359431,100,2020/8/28 17:53,
89.3,9.9976,1.779359431,100,2020/8/28 17:53,
89.8,9.9978,1.778410101,100,2020/8/28 17:53,
90.6,9.9909,1.782213509,100,2020/8/28 17:53,
91.5,9.986,1.780785453,100,2020/8/28 17:53,
92,9.9765,1.775883502,100,2020/8/28 17:53,
92.1,9.9865,1.780310282,100,2020/8/28 17:53,
91.9,9.98,1.779359431,100,2020/8/28 17:53,
91.5,9.992,1.776830135,100,2020/8/28 17:53,
91.2,10.0054,1.778410101,100,2020/8/28 17:53,
91.6,10.0093,1.778410101,100,2020/8/28 17:53,
93,9.9578,1.777777778,100,2020/8/28 17:53,
95.1,9.9878,1.775883502,100,2020/8/28 17:53,
97.2,9.9789,1.775883502,100,2020/8/28 17:53,
98.9,9.9708,1.775883502,100,2020/8/28 17:53,
99.4,9.9899,1.772107091,100,2020/8/28 17:53,
98.5,9.979,1.774937877,100,2020/8/28 17:53,
95.9,9.9692,1.774937877,100,2020/8/28 17:53,
92.5,9.9792,1.771165482,100,2020/8/28 17:53,
89.2,9.9799,1.772892599,100,2020/8/28 17:53,
86.8,9.984,1.773993259,100,2020/8/28 17:53,
85.6,10.0012,1.767565303,100,2020/8/28 17:53,
86,10.0012,1.773364072,100,2020/8/28 17:53,
87.3,9.9752,1.773364072,100,2020/8/28 17:53,
89.1,9.9814,1.770381642,100,2020/8/28 17:53,
90.5,9.9772,1.774465568,100,2020/8/28 17:53,
91.3,9.9984,1.773993259,100,2020/8/28 17:53,
91.6,9.9863,1.770381642,100,2020/8/28 17:53,
91.5,9.9843,1.771479185,100,2020/8/28 17:53,
91.1,9.9961,1.771479185,100,2020/8/28 17:53,
91,9.9846,1.766628514,100,2020/8/28 17:53,
91.2,9.9815,1.768033946,100,2020/8/28 17:53,
91.5,9.9862,1.76133874,100,2020/8/28 17:53,
91.6,9.9889,1.759324419,100,2020/8/28 17:53,
91.6,9.992,1.760563435,100,2020/8/28 17:53,
91.5,9.9853,1.761804087,100,2020/8/28 17:53,
